tree: /scratch/work/[redacted]/triton-per-v010/src/triton_per/__init__.py
{'backend': 'triton', 'capacity': 100000, 'batch_size': 256, 'obs_dim': 32, 'mean_ms': '0.269', 'p50_ms': '0.266', 'p95_ms': '0.287', 'samples_per_sec': '951690.598'}
{'backend': 'triton', 'capacity': 100000, 'batch_size': 256, 'obs_dim': 256, 'mean_ms': '0.272', 'p50_ms': '0.266', 'p95_ms': '0.304', 'samples_per_sec': '941731.028'}
{'backend': 'triton', 'capacity': 100000, 'batch_size': 1024, 'obs_dim': 32, 'mean_ms': '0.271', 'p50_ms': '0.266', 'p95_ms': '0.300', 'samples_per_sec': '3785474.592'}
{'backend': 'triton', 'capacity': 100000, 'batch_size': 1024, 'obs_dim': 256, 'mean_ms': '0.271', 'p50_ms': '0.268', 'p95_ms': '0.290', 'samples_per_sec': '3779270.277'}
{'backend': 'triton', 'capacity': 100000, 'batch_size': 4096, 'obs_dim': 32, 'mean_ms': '0.280', 'p50_ms': '0.276', 'p95_ms': '0.305', 'samples_per_sec': '14643855.450'}
{'backend': 'triton', 'capacity': 100000, 'batch_size': 4096, 'obs_dim': 256, 'mean_ms': '0.280', 'p50_ms': '0.276', 'p95_ms': '0.301', 'samples_per_sec': '14628292.665'}
{'backend': 'triton', 'capacity': 1000000, 'batch_size': 256, 'obs_dim': 32, 'mean_ms': '0.270', 'p50_ms': '0.266', 'p95_ms': '0.298', 'samples_per_sec': '947129.024'}
{'backend': 'triton', 'capacity': 1000000, 'batch_size': 256, 'obs_dim': 256, 'mean_ms': '0.269', 'p50_ms': '0.266', 'p95_ms': '0.293', 'samples_per_sec': '950728.385'}
{'backend': 'triton', 'capacity': 1000000, 'batch_size': 1024, 'obs_dim': 32, 'mean_ms': '0.269', 'p50_ms': '0.263', 'p95_ms': '0.297', 'samples_per_sec': '3807665.164'}
{'backend': 'triton', 'capacity': 1000000, 'batch_size': 1024, 'obs_dim': 256, 'mean_ms': '0.269', 'p50_ms': '0.265', 'p95_ms': '0.294', 'samples_per_sec': '3807694.701'}
{'backend': 'triton', 'capacity': 1000000, 'batch_size': 4096, 'obs_dim': 32, 'mean_ms': '0.269', 'p50_ms': '0.265', 'p95_ms': '0.294', 'samples_per_sec': '15201481.832'}
{'backend': 'triton', 'capacity': 1000000, 'batch_size': 4096, 'obs_dim': 256, 'mean_ms': '0.270', 'p50_ms': '0.266', 'p95_ms': '0.295', 'samples_per_sec': '15159847.879'}
{'backend': 'triton', 'capacity': 10000000, 'batch_size': 256, 'obs_dim': 32, 'mean_ms': '0.272', 'p50_ms': '0.269', 'p95_ms': '0.285', 'samples_per_sec': '941418.613'}
{'backend': 'triton', 'capacity': 10000000, 'batch_size': 256, 'obs_dim': 256, 'mean_ms': '0.274', 'p50_ms': '0.270', 'p95_ms': '0.297', 'samples_per_sec': '935258.048'}
{'backend': 'triton', 'capacity': 10000000, 'batch_size': 1024, 'obs_dim': 32, 'mean_ms': '0.275', 'p50_ms': '0.272', 'p95_ms': '0.299', 'samples_per_sec': '3725476.519'}
{'backend': 'triton', 'capacity': 10000000, 'batch_size': 1024, 'obs_dim': 256, 'mean_ms': '0.274', 'p50_ms': '0.270', 'p95_ms': '0.297', 'samples_per_sec': '3731998.171'}
{'backend': 'triton', 'capacity': 10000000, 'batch_size': 4096, 'obs_dim': 32, 'mean_ms': '0.274', 'p50_ms': '0.270', 'p95_ms': '0.305', 'samples_per_sec': '14940280.110'}
{'backend': 'triton', 'capacity': 10000000, 'batch_size': 4096, 'obs_dim': 256, 'mean_ms': '0.275', 'p50_ms': '0.271', 'p95_ms': '0.297', 'samples_per_sec': '14919716.731'}
{'backend': 'triton-unfused', 'capacity': 100000, 'batch_size': 256, 'obs_dim': 32, 'mean_ms': '0.274', 'p50_ms': '0.271', 'p95_ms': '0.286', 'samples_per_sec': '933020.520'}
