backend,capacity,batch_size,obs_dim,mean_ms,p50_ms,p95_ms,samples_per_sec
triton,100000,256,32,0.2689949870109558,0.2663410007953644,0.287099689245224,951690.59782357
triton,100000,256,256,0.27183982729911804,0.2659810185432434,0.3040560483932495,941731.0279494522
triton,100000,1024,32,0.27050769329071045,0.26558002829551697,0.29982009530067444,3785474.5923973517
triton,100000,1024,256,0.2709517776966095,0.26763400435447693,0.2899477481842041,3779270.2771878275
triton,100000,4096,32,0.27970775961875916,0.2756899893283844,0.304634153842926,14643855.449640853
triton,100000,4096,256,0.2800053358078003,0.27643999457359314,0.3006865978240967,14628292.665149616
triton,1000000,256,32,0.2702905237674713,0.2657800018787384,0.29838064312934875,947129.0241023569
triton,1000000,256,256,0.2692672312259674,0.265500009059906,0.2928869128227234,950728.3854572203
triton,1000000,1024,32,0.26893121004104614,0.2632949948310852,0.296736478805542,3807665.164053328
triton,1000000,1024,256,0.268929123878479,0.2645080089569092,0.2939940094947815,3807694.701235538
triton,1000000,4096,32,0.2694474160671234,0.26475900411605835,0.2940830588340759,15201481.83191196
triton,1000000,4096,256,0.2701874077320099,0.2659209966659546,0.29478004574775696,15159847.878857067
triton,10000000,256,32,0.2719300389289856,0.2688959836959839,0.2846139967441559,941418.6127000639
triton,10000000,256,256,0.27372124791145325,0.26973798871040344,0.29665204882621765,935258.0479350075
triton,10000000,1024,32,0.27486416697502136,0.2724129855632782,0.2991819977760315,3725476.5190729913
triton,10000000,1024,256,0.2743838429450989,0.26993799209594727,0.2966330647468567,3731998.170915956
triton,10000000,4096,32,0.27415817975997925,0.2695379853248596,0.3052443265914917,14940280.1097745
triton,10000000,4096,256,0.27453604340553284,0.27059000730514526,0.29739707708358765,14919716.730781194
triton-unfused,100000,256,32,0.2743776738643646,0.27132099866867065,0.28582608699798584,933020.5201992878
triton-unfused,100000,256,256,0.2756609618663788,0.27225300669670105,0.288873553276062,928677.0178364643
triton-unfused,100000,1024,32,0.27529412508010864,0.2717309892177582,0.2950490415096283,3719658.019225885
triton-unfused,100000,1024,256,0.27797338366508484,0.27354496717453003,0.298593133687973,3683805.9331384134
triton-unfused,100000,4096,32,0.28570452332496643,0.2800379991531372,0.31636151671409607,14336489.854384007
triton-unfused,100000,4096,256,0.28759559988975525,0.28207099437713623,0.3193265497684479,14242220.679211121
triton-unfused,1000000,256,32,0.27819785475730896,0.2717509865760803,0.30740049481391907,920208.3899005128
triton-unfused,1000000,256,256,0.2784358859062195,0.27425700426101685,0.3018312156200409,919421.7159429796
triton-unfused,1000000,1024,32,0.2748977541923523,0.2711299955844879,0.2980755567550659,3725021.3375096675
triton-unfused,1000000,1024,256,0.27627885341644287,0.2720620036125183,0.2992067039012909,3706400.2088371785
triton-unfused,1000000,4096,32,0.2747011184692383,0.2718920111656189,0.2856462001800537,14910751.084032008
triton-unfused,1000000,4096,256,0.2765873074531555,0.2723729908466339,0.30355072021484375,14809067.117780607
triton-unfused,10000000,256,32,0.27883708477020264,0.27615001797676086,0.28967368602752686,918098.8253803353
triton-unfused,10000000,256,256,0.2902701497077942,0.2795870006084442,0.3129139840602875,881937.0515973038
triton-unfused,10000000,1024,32,0.2803792655467987,0.2763500213623047,0.30292415618896484,3652195.8854660094
triton-unfused,10000000,1024,256,0.28283488750457764,0.27767300605773926,0.30753210186958313,3620486.8820626903
triton-unfused,10000000,4096,32,0.2801074981689453,0.27646100521087646,0.3069635331630707,14622957.353071354
triton-unfused,10000000,4096,256,0.28289473056793213,0.2774219810962677,0.30868205428123474,14478884.042049766
torch,100000,256,32,0.4324707090854645,0.4308519959449768,0.4518289864063263,591947.6038998273
torch,100000,256,256,0.43553900718688965,0.43181300163269043,0.4633442163467407,587777.4338824042
torch,100000,1024,32,0.42850494384765625,0.4229370057582855,0.4575050175189972,2389704.0505652986
torch,100000,1024,256,0.4395016133785248,0.4326840043067932,0.4655075669288635,2329911.8110815003
torch,100000,4096,32,0.44319912791252136,0.440189003944397,0.46646004915237427,9241895.441654542
torch,100000,4096,256,0.44263458251953125,0.439628005027771,0.46805399656295776,9253682.748160021
torch,1000000,256,32,0.43534746766090393,0.43201300501823425,0.4620126187801361,588036.0379158119
torch,1000000,256,256,0.43660420179367065,0.43187299370765686,0.46764662861824036,586343.4180163476
torch,1000000,1024,32,0.43712860345840454,0.4350789785385132,0.4567440152168274,2342560.0427390924
torch,1000000,1024,256,0.4389280080795288,0.4358710050582886,0.46592962741851807,2332956.6150958925
torch,1000000,4096,32,0.4494684636592865,0.439738005399704,0.47025054693222046,9112986.407662446
torch,1000000,4096,256,0.44223907589912415,0.4394280016422272,0.4573112428188324,9261958.572232338
torch,10000000,256,32,0.43514755368232727,0.43242400884628296,0.4585965573787689,588306.1913910904
torch,10000000,256,256,0.43806812167167664,0.434827983379364,0.46314048767089844,584383.9972265019
torch,10000000,1024,32,0.4372650384902954,0.4341279864311218,0.4642391800880432,2341829.1193265077
torch,10000000,1024,256,0.4349048137664795,0.4323750138282776,0.45545023679733276,2354538.2060310626
torch,10000000,4096,32,0.44108662009239197,0.4384959936141968,0.46350762248039246,9286157.89602059
torch,10000000,4096,256,0.4434465169906616,0.4408310055732727,0.4676685631275177,9236739.591048038
